user,pass_rate,is_pass
20152015,0.42,0
20160659,1.0,1
20162220,0.2,0
20162264,1.0,1
5120144755,0.05,0
5120144819,0.19,0
5120147048,0.2,0
5120149999,0.86,1
5120150279,0.06,0
5120152625,0.19,0
5120152651,0.43,0
5120153601,0.41,0
5120160137,1.0,1
5120160138,0.9,1
5120160139,1.0,1
5120160140,0.99,1
5120160359,1.0,1
5120160360,0.86,1
5120160361,1.0,1
5120160362,0.61,1
5120160564,1.0,1
5120160565,1.0,1
5120160566,1.0,1
5120160639,1.0,1
5120160658,1.0,1
5120160659,0.27,1
5120160660,0.79,1
5120160814,1.0,1
5120160815,1.0,1
5120160816,0.99,1
5120160821,1.0,1
5120161522,1.0,1
5120161658,1.0,1
5120161777,1.0,1
5120161943,1.0,1
5120161996,1.0,1
5120162011,1.0,1
5120162210,1.0,1
5120162211,1.0,1
5120162213,1.0,1
5120162214,1.0,1
5120162215,1.0,1
5120162216,1.0,1
5120162217,1.0,1
5120162219,1.0,1
5120162220,1.0,1
5120162221,1.0,1
5120162222,0.99,1
5120162223,1.0,1
5120162224,0.75,0
5120162225,1.0,1
5120162226,1.0,1
5120162227,1.0,1
5120162228,0.08,0
5120162229,1.0,1
5120162230,1.0,1
5120162231,0.94,0
5120162232,1.0,1
5120162233,1.0,1
5120162234,1.0,1
5120162235,1.0,1
5120162236,1.0,1
5120162237,1.0,1
5120162238,1.0,1
5120162239,0.91,1
5120162240,0.82,1
5120162241,1.0,1
5120162242,0.33,0
5120162243,1.0,1
5120162244,0.98,1
5120162245,1.0,1
5120162246,1.0,1
5120162247,1.0,1
5120162248,1.0,1
5120162249,0.98,1
5120162251,1.0,1
5120162252,1.0,1
5120162254,0.32,0
5120162256,1.0,1
5120162257,1.0,1
5120162258,0.99,1
5120162259,1.0,1
5120162260,1.0,1
5120162262,1.0,1
5120162263,0.58,0
5120162265,1.0,1
5120162266,1.0,1
5120162267,0.75,1
5120162270,1.0,1
5120162271,1.0,1
5120162273,1.0,1
5120162274,1.0,1
5120162275,0.98,1
5120162276,1.0,1
5120162277,1.0,1
5120162278,1.0,1
5120162280,1.0,1
5120162281,1.0,1
5120162282,1.0,1
5120162283,1.0,1
5120162284,1.0,1
5120162285,1.0,1
5120162286,1.0,1
5120162287,1.0,1
5120162288,1.0,1
5120162290,1.0,1
5120162291,1.0,1
5120162292,0.78,1
5120162294,1.0,1
5120162295,1.0,1
5120162296,0.81,1
5120162744,1.0,1
5120162756,1.0,1
5120163022,1.0,1
5120163095,1.0,1
5120164464,0.07,0
5120164587,1.0,1
5120165388,1.0,1
5120165412,1.0,1
5120165413,0.19,1
5120165414,0.28,1
5120165492,0.91,1
5120165592,1.0,1
5120165593,1.0,1
5120165594,1.0,1
5120165854,0.32,0
5120165855,0.26,0
5120166405,1.0,1
5120166406,1.0,1
5120166407,0.99,1
5120167170,1.0,1
5120167295,1.0,1
5120167296,1.0,1
5120167297,0.21,0
5120167298,1.0,1
5120167349,1.0,1
5120167999,0.29,0
5120168888,0.71,0
5120169990,0.34,0
5120169999,0.41,0
